TECH STACK AUDIT,,,,,,,,,
Van Dee AI Solutions — Gratis template,,,,,,,,,
Website: vandeeaisolutions.com,,,,,,,,,
,,,,,,,,,
HOE TE GEBRUIKEN,,,,,,,,,
1. Open dit bestand in Excel of Google Sheets,,,,,,,,,
2. Doorloop de 5 tabbladen van boven naar beneden,,,,,,,,,
3. Vul je eigen cijfers in de GROENE kolommen in,,,,,,,,,
4. De ROOD-GEMARKEERDE kolommen geven direct de aanbeveling,,,,,,,,,
5. Boek een gratis strategiegesprek voor persoonlijk advies,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
============================================================,,,,,,,,,
TABBLAD 1  —  TOOL INVENTARIS,,,,,,,,,
============================================================,,,,,,,,,
Doel: Overzicht van ALLE tools die je bedrijf nu gebruikt,,,,,,,,,
Vul in: Kolommen A tot en met F (voorbeelden staan als voorbeeld),,,,,,,,,
Aflezen: Kolom H (aanbeveling) en kolom I (jaarlijkse kosten),,,,,,,,,
,,,,,,,,,
#,Tool,Categorie,Kosten per maand (EUR),Aantal actieve gebruikers,Gebruik (1-5),Waarde (1-5),Aanbeveling,Kosten per jaar (EUR)
1,Slack,Communicatie,120,15,5,4,HOUDEN,1440
2,HubSpot CRM,Sales / Marketing,450,8,4,4,HOUDEN,5400
3,Asana,Project Management,180,12,3,3,EVALUEREN,2160
4,Notion,Documentatie,80,20,4,5,HOUDEN — uitbreiden,960
5,Zapier,Automatisering,290,3,3,3,VERVANGEN door Make.com,3480
6,Make.com,Automatisering,99,3,4,5,HOUDEN — uitbreiden,1188
7,Claude Pro,AI,60,3,5,5,HOUDEN — uitbreiden,720
8,ChatGPT Plus,AI,60,3,2,3,SCHRAPPEN — Claude voldoet,720
9,Google Workspace,Productiviteit,180,15,5,5,HOUDEN,2160
10,Microsoft 365,Productiviteit,225,15,3,3,EVALUEREN — overlap met Google,2700
,,,,,,,,,
[Vul hieronder je eigen tools in],,,,,,,,,
11,...,...,,,,,,
12,...,...,,,,,,
13,...,...,,,,,,
14,...,...,,,,,,
15,...,...,,,,,,
,,,,,,,,,
TOTAAL HUIDIGE STACK,,,1744,,,,,20928
POTENTIELE BESPARING BIJ OPVOLGEN ADVIES,,,876,,,,,10512
,,,,,,,,,
LEGENDA SCORING,,,,,,,,,
Gebruik (1-5),1 = Nauwelijks actief,2 = Paar keer per maand,3 = Wekelijks,4 = Dagelijks,5 = Continu,,,
Waarde (1-5),1 = Onmisbaar,2 = Belangrijk,3 = Handig,4 = Marginal,5 = Kan zonder,,,
,,,,,,,,,
,,,,,,,,,
============================================================,,,,,,,,,
TABBLAD 2  —  PROCES GAP ANALYSE,,,,,,,,,
============================================================,,,,,,,,,
Doel: Welke handmatige processen kunnen geautomatiseerd met AI?,,,,,,,,,
Vul in: Kolommen A tot E voor elk proces dat veel tijd kost,,,,,,,,,
Aflezen: Kolom F geeft een concrete AI-suggestie,,,,,,,,,
,,,,,,,,,
#,Proces,Huidige tool,Uren per week,Automatiseerbaar?,Geschatte besparing (u/week),AI-oplossing suggestie,,
1,Facturen verwerken,Handmatig Excel + Exact,10,JA,8,GPT-4 Vision + Make.com + Exact API,,
2,Email sorteren en beantwoorden,Outlook handmatig,8,DEELS,5,Claude + email-filters,,
3,Klantvragen eerste lijn,Telefoon + email,12,DEELS,6,AI Chatbot op website,,
4,Wekelijkse rapportages,Excel handmatig,5,JA,4,Claude + Google Sheets API,,
5,LinkedIn content schrijven,CEO schrijft zelf,3,JA,2,Claude + templates,,
6,Data-entry uit formulieren,Handmatig typen,6,JA,5,GPT-4 Vision + Airtable,,
,,,,,,,,,
[Vul hieronder je eigen processen in],,,,,,,,,
7,...,...,,,,,,
8,...,...,,,,,,
9,...,...,,,,,,
10,...,...,,,,,,
,,,,,,,,,
TOTAAL HUIDIGE TIJDSINZET,,,44,,30,,,
TOTAAL POTENTIELE TIJDSBESPARING,,,,,,(= 68% van huidige tijdsinzet),,
,,,,,,,,,
,,,,,,,,,
============================================================,,,,,,,,,
TABBLAD 3  —  ROI CALCULATOR,,,,,,,,,
============================================================,,,,,,,,,
Doel: Bereken wat automatisering je jaarlijks oplevert,,,,,,,,,
Vul in: Je gemiddelde uurtarief en de geschatte besparing uit Tabblad 2,,,,,,,,,
,,,,,,,,,
INPUTS,,,WAARDE,,,,,
Gemiddeld uurtarief in je bedrijf,,,50,EUR per uur,,,,
Geschatte besparing per week,,,20,uren per week,,,,
Aantal werkweken per jaar,,,50,weken,,,,
,,,,,,,,,
RESULTATEN,,,,,,,,,
Besparing per week,,,1000,EUR,,,,
Besparing per maand,,,4333,EUR,,,,
Besparing per jaar,,,50000,EUR,,,,
,,,,,,,,,
Eenmalige investering in AI-implementatie (gemiddeld),,,12000,EUR,,,,
Terugverdientijd,,,2.9,maanden,,,,
ROI in jaar 1,,,317,procent,,,,
,,,,,,,,,
,,,,,,,,,
============================================================,,,,,,,,,
TABBLAD 4  —  PRIORITEITEN ACTIEPLAN,,,,,,,,,
============================================================,,,,,,,,,
Doel: Waar begin je? Welke AI-implementatie eerst?,,,,,,,,,
Hoe te lezen: Volgorde is gebaseerd op impact (uren bespaard) per week gedeeld door implementatietijd,,,,,,,,,
,,,,,,,,,
Prioriteit,Wat,Impact (u/week bespaard),Implementatietijd (weken),Score (impact/tijd),Start wanneer,,,
1,Factuurverwerking automatiseren,8,4,2.00,Maand 1,,,
2,AI chatbot eerste lijn klantvragen,6,3,2.00,Maand 1,,,
3,Email classificatie en routing,5,2,2.50,Maand 1,,,
